,Name,0,1,2,3,4,5,6,7,cluster
166,참치샌드위치,0.08205204,0.093885845,0.137058824,0.001330856,0.086785782,0.008820961,0.054716018,0.021181384,2
167,찹쌀도우넛,0.030610585,0.102759987,0.020764706,0.000139531,0.023032227,0.010593886,0.001096968,0.005817422,0
168,채소고로케,0.044448551,0.080227384,0.041941176,0.000621066,0.038230332,0.002943231,0.039613792,0.010710024,0
169,초콜릿케이크,0.062128918,0.112148571,0.031235294,0.000946387,0.016113744,0.020200873,0.048077469,0.042929594,1
170,치즈케이크,0.048660556,0.073668236,0.042529412,0.00078221,0.019020853,0.013344978,0.11989106,0.032786396,0
171,치즈피자,0.081756357,0.183141703,0.184705882,0.000599075,0.090043602,0.005938865,0.045429614,0.034307876,1
172,페이스트리빵,0.047248669,0.08364843,0.035235294,0.000697657,0.028036967,0.005021834,0.016028975,0.036008353,0
173,페퍼로니피자,0.078651685,0.18082671,0.172941176,0.000561159,0.089594313,0.006550218,0.039462486,0.0325179,1
174,포테이토피자,0.092844471,0.184170589,0.164705882,0.000966861,0.094780095,0.007423581,0.046290167,0.030727924,1
175,수정과,0.019662921,0.052318852,0.003529412,0.000207401,0.000921327,0.018069869,0,0.000178998,0
176,식혜,0.019240095,0.062556267,0.013529412,9.97194E-05,0.000320379,0.014882096,0,0.000208831,0
177,간장마늘쫑장아찌,0.004435245,0.013889961,0.005882353,1.89581E-05,0.077122275,0.003406114,0,0,0
178,고추장마늘쫑장아찌,0.008131283,0.027008257,0.007647059,3.41245E-05,0.067046445,0.00489083,0,0.000298329,0
179,매실장아찌,0.01077469,0.044833706,0.002941176,4.9291E-06,0.032024645,0.01,0,5.96659E-05,0
180,무장아찌,0.003536369,0.012938241,0.002588235,8.72071E-06,0.083394313,0.002515284,3.78265E-05,2.98329E-05,0
181,계적,0.072158486,0,0.339529412,0.001153788,0.01991564,0,0.160015509,0.024105012,3
182,낙지꼬지,0.011139858,0.007279368,0.077294118,4.85326E-05,0.019627488,0,0.126482326,0.000417661,0
183,돔베기적,0.023579243,0,0.176941176,0.000281338,0.042772512,0,0.060739886,0.001789976,2
184,소고기산적,0.066982555,0.018854335,0.284764706,0.000969515,0.132021801,0,0.127503641,0.02103222,3
185,소라산적,0.017755766,0.016590786,0.105411765,9.51695E-05,0.0376,0.000742358,0.09488775,0.001133652,2
186,오징어산적,0.01503696,0.009259974,0.102176471,7.50739E-05,0.045223697,0.000803493,0.221521381,0.000805489,3
187,홍어적,0.013180071,0,0.138764706,2.50246E-05,0.030666351,0.000244541,0.091511736,0.000357995,2
188,홍합산적,0.023160852,0.027214034,0.104588235,0.000181997,0.068219905,0.002917031,0.057411155,0.002476134,2
189,가자미전,0.034044944,0.017774005,0.151529412,0.000419352,0.077665403,0.000262009,0.166691884,0.006682578,3
190,고추전,0.040610585,0.043753376,0.075941176,0.000652916,0.034332701,0.001895197,0.074527642,0.010501193,0
191,굴전,0.028829095,0.037297117,0.062352941,0.000398119,0.030872038,0.001135371,0.091615759,0.006264916,0
192,깻잎전,0.053385571,0.037400005,0.104352941,0.000977478,0.045511848,0.000925764,0.124638284,0.016199284,2
193,녹두빈대떡,0.030742164,0.053836459,0.046705882,0.000389399,0.021995261,8.73362E-05,0.011801865,0.006742243,0
194,동그랑땡(육원전),0.045712596,0.032615685,0.115411765,0.000758323,0.052425592,0.000855895,0.09765854,0.013902148,2
195,동태전,0.039628918,0.027111145,0.133176471,0.000570259,0.06655545,0.00019214,0.169046583,0.009427208,3
196,두부전,0.037646363,0.019291612,0.120352941,0.000601729,0.030061611,2.62009E-05,0.003101772,0.00599642,2
197,미나리전,0.033472797,0.088046917,0.030823529,0.000288921,0.02357346,0.001519651,0.011243924,0.003669451,0
198,배추전,0.035592844,0.091365074,0.030411765,0.000328733,0.030979147,0.004384279,0.006837138,0.004087112,0
199,버섯전,0.035583974,0.04164416,0.061882353,0.000563813,0.029740284,0.002393013,0.094660791,0.006831742,0
200,야채전,0.028681254,0.055559843,0.031764706,0.000360203,0.030475829,0.00209607,0.040805326,0.006264916,0
201,파전,0.043287995,0.089538802,0.040176471,0.000531963,0.032792417,0.000689956,0.043632856,0.006742243,0
202,햄부침,0.036073329,0.029066029,0.066470588,0.000648366,0.067835071,0.000873362,0.068191705,0.013126492,0
203,호박부침개,0.019071555,0.025979371,0.022941176,0.000307121,0.016524171,0.003144105,0.049628355,0.005071599,0
204,호박전,0.030765819,0.04141266,0.038117647,0.000496322,0.026251185,0.002489083,0.087492671,0.006980907,0
205,화양적,0.040308989,0.054916789,0.079882353,0.000560021,0.075547867,0.001056769,0.116552872,0.011396181,2
206,가자미조림,0.044053814,0.055302621,0.218235294,0.000269205,0.16045782,0.009170306,0.215592079,0.003878282,3
207,고추조림,0.016410408,0.03446768,0.019411765,0.000185789,0.073848341,0.006200873,0.006704745,0.002088305,0
208,동태조림,0.040804258,0.04475654,0.24,0.000178206,0.131913744,0.008908297,0.206579918,0.003281623,3
209,돼지고기메추리알장조림,0.009386458,0.008668364,0.049058824,7.01448E-05,0.055259716,0.00110917,0.045051349,0.001312649,0
210,북어조림,0.026886458,0.044087764,0.122529412,0.000126261,0.072601896,0.007161572,0.09421633,0.001998807,2
211,소고기메추리알장조림,0.008966588,0.007407979,0.047882353,6.97657E-05,0.057072986,0.000620087,0.039263897,0.001342482,0
212,조기조림,0.056771141,0.032924351,0.241764706,0.000712823,0.167888152,0.003930131,0.215781212,0.014916468,3
213,게살죽,0.083505322,0.276127273,0.105294118,0.000268825,0.137802844,0.000148472,0.047434418,0.006294749,1
214,깨죽,0.076190124,0.204002366,0.080352941,0.000604383,0.109970616,0.003135371,0,0.008442721,1
215,백합죽,0.067309284,0.217866605,0.097058824,0.00021233,0.094483412,0,0.030355758,0.003878282,1
216,소고기버섯죽,0.085493791,0.280448594,0.110294118,0.000283233,0.119601896,0.000227074,0.024662871,0.008114558,1
217,어죽,0.081617386,0.259279265,0.12,0.000284371,0.199576303,0.008558952,0.03354264,0.005071599,1
218,잣죽,0.129284447,0.399413535,0.112823529,0.000744294,0.083299526,0.002061135,0,0.005936754,1
219,참치죽,0.097516263,0.268976516,0.142294118,0.000608933,0.127241706,0.001187773,0.037788663,0.005399761,1
220,고등어찌개,0.088944412,0.065848702,0.287647059,0.001277774,0.244934597,0.006462882,0.14758005,0.021181384,3
221,김치찌개,0.035929923,0.030686524,0.088647059,0.000568742,0.185984834,0.002637555,0.023811775,0.00823389,2
222,꽁치찌개,0.052483737,0.031381022,0.141176471,0.000883446,0.122881517,0.005152838,0.059879333,0.014618138,2
223,두부전골,0.046593732,0.043984875,0.150588235,0.00061045,0.15647109,0.003056769,0.008369111,0.007159905,2
224,버섯찌개,0.024772324,0.03961211,0.086470588,0.000197164,0.122641706,0.003842795,0.01565071,0.003878282,2
225,부대찌개,0.059062685,0.102116933,0.108235294,0.00070524,0.220085308,0.005414847,0.049685094,0.016109785,2
226,새우젓두부찌개,0.024541691,0.018519948,0.095294118,0.000307121,0.106453081,0.001484716,0.010128043,0.00477327,2
227,소곱창전골,0.078208161,0.075108676,0.244705882,0.00103511,0.168685308,0.002008734,0.428564674,0.024761337,3
228,햄김치찌개,0.027942046,0.03266713,0.065294118,0.000394328,0.150052133,0.003144105,0.027537685,0.011038186,2
229,호박찌개,0.014044944,0.031381022,0.032941176,9.85819E-05,0.097072038,0.005065502,0.008756832,0.001193317,0
230,대구찜,0.055650503,0.063533709,0.304117647,0.000299537,0.17996872,0.004978166,0.249011783,0.003281623,3
231,도미찜,0.018555588,0.001388996,0.135294118,0.000131948,0.079617062,0,0.093630019,0.002714797,2
232,동태찜,0.058296866,0.066363145,0.299411765,0.000367786,0.188208531,0.004978166,0.268776124,0.00477327,3
233,돼지등갈비찜,0.142081609,0.147645137,0.424117647,0.001865474,0.227030332,0.021048035,0.188725815,0.048031026,3
234,돼지머리고기,0.096096984,0.009002752,0.249411765,0.001971639,0.031624645,8.73362E-05,0.161802811,0.045346062,3
235,매운갈비찜,0.076499113,0.060961494,0.360588235,0.000746948,0.10791564,0.009344978,0.154417188,0.023866348,3
236,문어숙회,0.009892076,0.001877717,0.087411765,1.89581E-05,0.019746919,0,0.132496737,0.000357995,0
237,민어찜,0.020236546,0,0.126294118,0.000224084,0.103263507,0,0.092457398,0.0049821,2
238,병어찜,0.026565642,0.000411554,0.110941176,0.000436415,0.061704265,0,0.068012029,0.010710024,2
